date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score,trends_change,price_change,target_up_next_day
2021-03-14,61315.197932766816,1145191373521.5942,67332756651.27568,,0.0667875663475111,,55831.47388568624,51291.27848882663,0.122493763891736,53.0,,,0
2021-03-15,59428.96756602776,1111684638819.0725,48104078384.27405,-0.03076285212040486,-0.031245962380146,,56990.88459222255,51691.77119919395,-0.2855768755553739,53.0,0.0,-1886.2303667390588,0
2021-03-16,55805.32924923426,1049197142851.5632,70594488699.70683,-0.06097427677449563,-0.0629124058727279,,57487.56935459423,51987.23910464098,0.4675364557609993,53.0,0.0,-3623.6383167934982,1
2021-03-17,56830.253335076224,1060221966894.7418,63219904254.35453,0.0183660610846772,0.0181994419837081,,57791.8521968512,52261.31839839404,-0.1044640251836391,53.0,0.0,1024.9240858419653,1
2021-03-18,59014.92563205099,1101028543248.462,63368268626.27834,0.038442065075686704,0.0377215756576845,,58219.6290414891,52631.86635187463,0.0023467984280218,53.0,0.0,2184.6722969747643,0
2021-03-19,57922.40959262911,1081065767945.8684,58387006275.72827,-0.018512537764319936,-0.018686039432101,,58238.70639710823,52921.34210807145,-0.0786081497654234,53.0,0.0,-1092.5160394218765,1
2021-03-20,58243.27060892363,1086741150606.8164,51948388930.75819,0.0055394970366591245,0.0055242104502992,,58365.76484524411,53124.66183354824,-0.1102748326325243,53.0,0.0,320.8610162945188,1
2021-03-21,58376.15847137206,1090022321077.5006,54549112635.67172,0.0022816002786092415,0.0022790013810398,0.033067123687477384,57945.90206504487,53346.097931292905,0.0500636065611204,45.0,-8.0,132.88786244842777,0
2021-03-22,57573.539344778685,1074356788297.177,55664123837.60256,-0.013749091197684415,-0.0138444853499142,0.031579804324764774,57680.84089058072,53397.25831748787,0.0204405011934454,45.0,0.0,-802.619126593374,0
2021-03-23,54370.13755789519,1020641820438.662,62001716794.84347,-0.055640174693793676,-0.0572480145885808,0.030003343184437568,57475.813506103696,53330.3417868207,0.1138541760889029,45.0,0.0,-3203.4017868834926,1
2021-03-24,54584.86994699455,1017637245492.0176,60383378707.04851,0.003949454585630008,0.0039416759640167,0.028734236022813,57155.04445066346,53227.5273341566,-0.0261015044655916,45.0,0.0,214.73238909935753,0
2021-03-25,52526.86659704657,982797427007.2563,73029051195.05199,-0.03770281676857401,-0.038431953745103,0.02327159276025347,56228.17887423426,53164.72767757429,0.2094230690427954,45.0,0.0,-2058.003349947976,0
2021-03-26,51416.90830498005,959155260366.7408,63401640502.561295,-0.021131248901280153,-0.0213577096895831,0.023334763504823674,55298.82154742725,53255.561460016805,-0.1318298750284597,45.0,0.0,-1109.958292066527,1
2021-03-27,55033.10048044704,1027209990794.894,55442557956.15464,0.07033079768269035,0.0679677574075202,0.04028823439625268,54840.22581478774,53428.35218557894,-0.1255343313409236,45.0,0.0,3616.1921754669966,1
2021-03-28,55832.41810961832,1042184275332.6416,47285749218.66506,0.014524306684397414,0.0144198392716247,0.041036358491451326,54476.8343345372,53723.0106075646,-0.1471217966519543,45.0,0.0,799.3176291712734,0
